sku_id,product_name,category,week_num,week_start_date,units_demanded,revenue_inr,unit_cost_inr,unit_selling_price_inr,lag_1,lag_2,lag_3,lag_4,lag_8,lag_52,roll_mean_4w,roll_std_4w,roll_mean_8w,roll_std_8w,demand_cv,momentum,is_promo,discount_pct,is_holiday_week,week_of_year,sin_season,cos_season
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,1,2024-01-01,128,61440.0,320.0,480.0,128,128,128,128,128,128,128.0,0.0,128.0,0.0,0.0,1.0,0,0.0,0,1,0.1205,0.9927
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,2,2024-01-08,121,58080.0,320.0,480.0,128,128,128,128,128,128,128.0,0.0,128.0,0.0,0.0,1.0,0,0.0,0,2,0.2393,0.9709
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,3,2024-01-15,181,86880.0,320.0,480.0,121,128,128,128,128,128,124.5,4.95,124.5,4.95,0.04,0.972,0,0.0,1,3,0.3546,0.935
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,4,2024-01-22,125,60000.0,320.0,480.0,181,121,128,128,128,128,143.33,32.81,143.33,32.81,0.229,1.263,0,0.0,0,4,0.4647,0.8855
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,5,2024-01-29,190,77520.0,320.0,480.0,125,181,121,128,128,128,138.75,28.31,138.75,28.31,0.204,0.901,1,0.15,0,5,0.5681,0.823
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,6,2024-02-05,91,43680.0,320.0,480.0,190,125,181,121,121,121,154.25,36.31,149.0,33.56,0.225,1.232,0,0.0,0,6,0.6631,0.7485
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,7,2024-02-12,111,53280.0,320.0,480.0,91,190,125,181,181,181,146.75,46.99,139.33,38.23,0.274,0.62,0,0.0,0,7,0.7485,0.6631
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,8,2024-02-19,125,60000.0,320.0,480.0,111,91,190,125,125,125,129.25,42.84,135.29,36.51,0.27,0.859,0,0.0,0,8,0.823,0.5681
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,9,2024-02-26,112,53760.0,320.0,480.0,125,111,91,190,128,128,129.25,42.84,134.0,34.0,0.254,0.967,0,0.0,0,9,0.8855,0.4647
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,10,2024-03-04,185,88800.0,320.0,480.0,112,125,111,91,121,121,109.75,14.03,132.0,34.86,0.264,1.021,0,0.0,0,10,0.935,0.3546
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,11,2024-03-11,166,79680.0,320.0,480.0,185,112,125,111,181,181,133.25,35.08,140.0,39.06,0.279,1.388,0,0.0,1,11,0.9709,0.2393
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,12,2024-03-18,162,66096.0,320.0,480.0,166,185,112,125,125,125,147.0,34.22,138.12,37.13,0.269,1.129,1,0.15,0,12,0.9927,0.1205
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,13,2024-03-25,117,56160.0,320.0,480.0,162,166,185,112,190,190,156.25,31.16,142.75,37.56,0.263,1.037,0,0.0,0,13,1.0,0.0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,14,2024-04-01,89,42720.0,320.0,480.0,117,162,166,185,91,91,157.5,28.8,133.62,33.04,0.247,0.743,0,0.0,0,14,0.9927,-0.1205
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,15,2024-04-08,200,96000.0,320.0,480.0,89,117,162,166,111,111,133.5,37.06,133.38,33.41,0.251,0.667,0,0.0,0,15,0.9709,-0.2393
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,16,2024-04-15,135,64800.0,320.0,480.0,200,89,117,162,125,125,142.0,48.98,144.5,39.21,0.271,1.408,0,0.0,0,16,0.935,-0.3546
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,17,2024-04-22,146,70080.0,320.0,480.0,135,200,89,117,112,112,135.25,47.13,145.75,38.66,0.265,0.998,0,0.0,0,17,0.8855,-0.4647
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,18,2024-04-29,222,106560.0,320.0,480.0,146,135,200,89,185,185,142.5,45.6,150.0,36.21,0.241,1.025,0,0.0,1,18,0.823,-0.5681
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,19,2024-05-06,156,63648.0,320.0,480.0,222,146,135,200,166,166,175.75,41.92,154.62,43.03,0.278,1.263,1,0.15,0,19,0.7485,-0.6631
